statute_number,section_title,popular_name,full_text_of_naming_clause,url
1-105,"Act, how cited.",Public Accountancy Act,Sections 1-105 to 1-171 shall be known and may be cited as the Public Accountancy Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=1-105
2-1072,"Act, how cited.",Plant Protection and Plant Pest Act,"Sections 2-1072 to 2-10,117 shall be known and may be cited as the Plant Protection and Plant Pest Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=2-1072
2-1575,"Act, how cited.",Nebraska Soil and Water Conservation Act,Sections 2-1575 to 2-1585 shall be known and may be cited as the Nebraska Soil and Water Conservation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-1575
2-1801,"Act, how cited; termination.",Nebraska Potato Development Act,Sections 2-1801 to 2-1811 may be cited as the Nebraska Potato Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-1801
2-1813,"Act, how cited.",Nebraska Potato Inspection Act,Sections 2-1813 to 2-1825 may be cited as the Nebraska Potato Inspection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-1813
2-2301,"Act, how cited.",Nebraska Wheat Resources Act,Sections 2-2301 to 2-2321 shall be known and may be cited as the Nebraska Wheat Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-2301
2-250,"Act, how cited.",County Agricultural Society Act,Sections 2-250 to 2-273 shall be known and may be cited as the County Agricultural Society Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-250
2-2622,"Act, how cited.",Pesticide Act,Sections 2-2622 to 2-2659 shall be known and may be cited as the Pesticide Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-2622
2-301,"Act, how cited.",Community Gardens Act,Sections 2-301 to 2-304 shall be known and may be cited as the Community Gardens Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-301
2-3101,"Act, how cited.",Nebraska Soil and Plant Analysis Laboratory Act,Sections 2-3101 to 2-3110 may be cited as the Nebraska Soil and Plant Analysis Laboratory Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3101
2-3401,"Act, how cited.",Nebraska Poultry and Egg Resources Act,Sections 2-3401 to 2-3416 shall be known and may be cited as the Nebraska Poultry and Egg Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3401
2-3601,"Act, how cited.",Nebraska Corn Resources Act,Sections 2-3601 to 2-3635 shall be known and may be cited as the Nebraska Corn Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3601
2-3735,"Act, how cited.",Dry Bean Resources Act,Sections 2-3735 to 2-3765 shall be known and may be cited as the Dry Bean Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3735
2-3801,"Act, how cited.",Nebraska Agricultural Products Marketing Act,Sections 2-3801 to 2-3812 shall be known and may be cited as the Nebraska Agricultural Products Marketing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3801
2-3948,"Act, how cited.",Dairy Industry Development Act,Sections 2-3948 to 2-3963 shall be known and may be cited as the Dairy Industry Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3948
2-3965,"Act, how cited; provisions adopted by reference; copies.",Nebraska Milk Act,(1) Sections 2-3965 to 2-3992 and the publications adopted by reference in subsections (2) and (3) of this section shall be known and may be cited as the Nebraska Milk Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-3965
2-4001,"Act, how cited.",Grain Sorghum Resources Act,Sections 2-4001 to 2-4020 shall be known and may be cited as the Grain Sorghum Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4001
2-405,"Resilient Soils and Water Quality Act, how cited.",Resilient Soils and Water Quality Act,Sections 2-405 to 2-409 shall be known and may be cited as the Resilient Soils and Water Quality Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-405
2-4101,"Act, how cited.",Dry Pea and Lentil Resources Act,Sections 2-4101 to 2-4119 shall be known and may be cited as the Dry Pea and Lentil Resources Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4101
2-411,"Nitrogen Reduction Incentive Act, how cited.",Nitrogen Reduction Incentive Act,Sections 2-411 to 2-417 shall be known and may be cited as the Nitrogen Reduction Incentive Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-411
2-4301,"Act, how cited.",Agricultural Liming Materials Act,Sections 2-4301 to 2-4327 shall be known and may be cited as the Agricultural Liming Materials Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4301
